SubjectCode,CourseNo\.,InstrType,InstrMethod,Sec,CRN_URL,CRN,CourseTitle,Days_Time,Days_Time1,Days_Time2,Days_Time3,Instructor
ARCH,489,Studio-Lecture,Face To Face,004,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/34009?crseNumb=489,34009,Architecture Studio 5C,W,06:00 pm - 08:50 pm,,,Bunny Tucker
ARCH,495,Thesis,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32053?crseNumb=495,32053,Senior Project III,M,06:00 pm - 09:50 pm,,,Rachel S Schade
ARCH,495,Thesis,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/34010?crseNumb=495,34010,Senior Project III,M,06:00 pm - 09:50 pm,,,Joanne Aitken
ARCH,495,Thesis,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/34011?crseNumb=495,34011,Senior Project III,M,06:00 pm - 09:50 pm,,,Catherine G Broh
ARCH,495,Thesis,Face To Face,004,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/34012?crseNumb=495,34012,Senior Project III,M,06:00 pm - 09:50 pm,,,John T Defazio
ARCH,495,Thesis,Face To Face,005,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/34013?crseNumb=495,34013,Senior Project III,M,06:00 pm - 09:50 pm,,,Don M Jones
ARCH,495,Thesis,Face To Face,006,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/34014?crseNumb=495,34014,Senior Project III,M,06:00 pm - 09:50 pm,,,Richard King
ARCH,495,Thesis,Face To Face,007,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/34015?crseNumb=495,34015,Senior Project III,M,06:00 pm - 09:50 pm,,,Robert E Nalls
ARCH,495,Thesis,Face To Face,008,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/34016?crseNumb=495,34016,Senior Project III,M,06:00 pm - 09:50 pm,,,Kelly F Vresilovic
ARCH,495,Thesis,Face To Face,009,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/34017?crseNumb=495,34017,Senior Project III,M,06:00 pm - 09:50 pm,,,Jeffrey F Krieger
ARCH,T680,Special Topics-Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/34939?crseNumb=T680,34939,Advanced Drawing,R,06:00 pm - 08:50 pm,,,Rachel S Schade
ARCH,T680,Special Topics-Lecture,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/35198?crseNumb=T680,35198,Contemporary Japanese Arch.,T,06:30 pm - 09:20 pm,,,Stephanie C Feldman
ARCH,T680,Special Topics-Lecture,Hybrid,130,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/35201?crseNumb=T680,35201,Intro to Hist. Preservation,R,06:30 pm - 09:20 pm,,,Amy A Lambert
ARTH,101,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/31940?crseNumb=101,31940,History of Art I,TR,09:30 am - 10:50 am,,,Pia Brancaccio
ARTH,102,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32162?crseNumb=102,32162,History of Art II,TR,03:30 pm - 04:50 pm,,,Joseph F Gregory
ARTH,102,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32163?crseNumb=102,32163,History of Art II,MW,12:30 pm - 01:50 pm,,,Sarina R Miller
ARTH,102,Lecture,Online,900,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/33278?crseNumb=102,33278,History of Art II,MW,02:00 pm - 03:20 pm,,,Sarina R Miller
ARTH,103,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/30020?crseNumb=103,30020,History of Art III,MW,12:30 pm - 01:50 pm,,,Linda Kim
ARTH,103,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/30339?crseNumb=103,30339,History of Art III,TR,02:00 pm - 03:20 pm,,,Delia L Solomons
ARTH,300,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/31273?crseNumb=300,31273,History of Modern Design,MW,09:30 am - 10:50 am,,,Heather G Moqtaderi
ARTH,300,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32845?crseNumb=300,32845,History of Modern Design,F,09:00 am - 11:50 am,,,Joseph H Larnerd
ARTH,304,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/33280?crseNumb=304,33280,Art of Japan,W,03:00 pm - 05:50 pm,,,Pia Brancaccio
ARTH,318,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/34027?crseNumb=318,34027,Latin American Art,TR,12:30 pm - 01:50 pm,,,Delia L Solomons
ARTH,335,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/33437?crseNumb=335,33437,History of Costume I: Preclassical to 1800,MW,02:00 pm - 03:20 pm,,,Clare Sauro
ARTH,337,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/31274?crseNumb=337,31274,History of Costume III: 1920 to Present,T,06:30 pm - 09:20 pm,,,Monica B Stevens Smyth
ARTH,340,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/34029?crseNumb=340,34029,Women in Art,M,06:00 pm - 08:50 pm,,,Linda Kim
ARTH,T380,Special Topics-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/34943?crseNumb=T380,34943,Theories of Architecture III,W,06:00 pm - 08:50 pm,,,John T Defazio
ARTH,477,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32164?crseNumb=477,32164,Decorative Arts of Colonialism,W,12:00 pm - 02:50 pm,,,Joseph H Larnerd
ARTH,T480,Special Topics-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/35196?crseNumb=T480,35196,Contemporary Japanese Arch.,T,06:30 pm - 09:20 pm,,,Stephanie C Feldman
ARTH,T480,Special Topics-Lecture,Hybrid,130,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/35199?crseNumb=T480,35199,Intro to Hist. Preservation,R,06:30 pm - 09:20 pm,,,STAFF
ARTH,530,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/33436?crseNumb=530,33436,History of Modern Design,F,09:00 am - 11:50 am,,,Joseph H Larnerd
AAML,525,Lecture,Online,900,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32847?crseNumb=525,32847,Legal and Ethical Issues in Arts and Culture,TBD,TBD,,,Sharon M Erwin
AAML,560,Lecture,Online,900,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32103?crseNumb=560,32103,Marketing & Engagement in Arts and Cultural Orgs.,TBD,TBD,,,Allison E Trimarco White
AAML,610,Lecture,Online,900,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/34914?crseNumb=610,34914,Financial Accounting in Arts and Cultural Orgs.,TBD,TBD,,,Richard A Perkins
AAML,680,Lecture,Online,900,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32104?crseNumb=680,32104,"Leadership, Strategy & Planning in Arts and Cult.",TBD,TBD,,,Catherine E Hernandez
AADM,741,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32739?crseNumb=741,32739,Arts Entrepreneurship,R,06:30 pm - 09:20 pm,,,Neville K Vakharia
AADM,752,Lecture,Online,900,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32101?crseNumb=752,32101,Performing Arts Management,TBD,TBD,,,Brent H Woods
AADM,785,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/31864?crseNumb=785,31864,Research Design in the Arts,W,06:00 pm - 08:50 pm,,,Laura-Edythe S Coleman
AADM,785,Lecture,Online,900,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/31879?crseNumb=785,31879,Research Design in the Arts,TBD,TBD,,,Pamela Yau
AADM,798,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32531?crseNumb=798,32531,Thesis Development,TBD,TBD,,,Pamela Yau
AADM,798,Lecture,Online,900,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32102?crseNumb=798,32102,Thesis Development,TBD,TBD,,,STAFF
AADM,799,Thesis,Online,900,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/31660?crseNumb=799,31660,Thesis Completion,TBD,TBD,,,Laura-Edythe S Coleman
DANC,102,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32239?crseNumb=102,32239,Yoga,MW,12:00 pm - 01:20 pm,,,Camille Moten
DANC,102,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32240?crseNumb=102,32240,Yoga,MW,01:30 pm - 02:50 pm,,,Camille Moten
DANC,102,Lecture,Online,900,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/34820?crseNumb=102,34820,Yoga,TR,01:30 pm - 02:50 pm,,,Lindsay J Browning
DANC,104,Studio-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32241?crseNumb=104,32241,Ballet Technique I,TR,12:00 pm - 01:20 pm,,,Blanca Huertas-Agnew
DANC,105,Studio-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32912?crseNumb=105,32912,Modern Dance Technique I,TR,03:00 pm - 04:20 pm,,,Kimberly A Gadlin
