SubjectCode,CourseNo\.,InstrType,InstrMethod,Sec,CRN_URL,CRN,CourseTitle,Days_Time._,Days_Time.realName,Days_Time1._,Days_Time1.realName,Instructor
ARCH,324,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/12312?crseNumb=324,12312,Materials & Methods IV,M,Days _ Time,06:00 pm - 08:50 pm,Days _ Time1,Rob A Rumburg
ARBC,102,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/15239?crseNumb=102,15239,Arabic II,MW,Days _ Time,06:00 pm - 07:50 pm,Days _ Time1,Amel Mili
ARCH,324,Lecture,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/12584?crseNumb=324,12584,Materials & Methods IV,M,Days _ Time,06:00 pm - 08:50 pm,Days _ Time1,STAFF
ARCH,335,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/10765?crseNumb=335,10765,Professional Practice I,R,Days _ Time,07:00 pm - 09:50 pm,Days _ Time1,Charles A Capaldi
ARCH,335,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/12585?crseNumb=335,12585,Professional Practice I,R,Days _ Time,07:00 pm - 09:50 pm,Days _ Time1,Robert M Piasecki
ARCH,341,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/12223?crseNumb=341,12223,Theories of Architecture I,W,Days _ Time,07:00 pm - 09:50 pm,Days _ Time1,Michael R Ytterberg
ARCH,350,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/15179?crseNumb=350,15179,Contemporary Architecture,R,Days _ Time,06:30 pm - 09:20 pm,Days _ Time1,Wolfram D Arendt
ARCH,354,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/12313?crseNumb=354,12313,Structural Systems IV,M,Days _ Time,06:00 pm - 08:50 pm,Days _ Time1,Alex J Stadel
ARCH,354,Lecture,Remote Synchronous,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/12314?crseNumb=354,12314,Structural Systems IV,M,Days _ Time,06:00 pm - 08:50 pm,Days _ Time1,Julie P Wiley
ARCH,354,Lecture,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/12315?crseNumb=354,12315,Structural Systems IV,M,Days _ Time,06:00 pm - 08:50 pm,Days _ Time1,Mark R Odorizzi
ARCH,T380,Special Topics-Lecture,Hybrid,130,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/15535?crseNumb=T380,15535,Community Engagement & Design,T,Days _ Time,06:00 pm - 08:50 pm,Days _ Time1,STAFF
ARCH,381,Studio-Lecture,Remote Synchronous,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/11504?crseNumb=381,11504,Architecture Studio 3A,R,Days _ Time,06:00 pm - 09:50 pm,Days _ Time1,STAFF
ARCH,381,Studio-Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/11522?crseNumb=381,11522,Architecture Studio 3A,R,Days _ Time,06:00 pm - 09:50 pm,Days _ Time1,Kyle D O'Connor
ARCH,381,Studio-Lecture,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/11862?crseNumb=381,11862,Architecture Studio 3A,R,Days _ Time,06:00 pm - 09:50 pm,Days _ Time1,Alexa R Bosse
ARCH,394,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/12316?crseNumb=394,12316,Building Systems IV,M,Days _ Time,06:00 pm - 08:50 pm,Days _ Time1,Antonio Martinez-Molina
ARCH,394,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/12317?crseNumb=394,12317,Building Systems IV,M,Days _ Time,06:00 pm - 08:50 pm,Days _ Time1,Paul A Shapiro
ARCH,394,Lecture,Remote Synchronous,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/12417?crseNumb=394,12417,Building Systems IV,M,Days _ Time,06:00 pm - 08:50 pm,Days _ Time1,Brendan McGrath
ARCH,T480,Special Topics-Lecture,Remote Asynchronous,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/14772?crseNumb=T480,14772,Professional Elective,TBD,Days _ Time,TBD,Days _ Time1,STAFF
ARCH,T480,Special Topics-Lecture,Remote Asynchronous,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/14773?crseNumb=T480,14773,Special Topics in Architecture,TBD,Days _ Time,TBD,Days _ Time1,STAFF
ARCH,T480,Special Topics-Lecture,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/15635?crseNumb=T480,15635,Design Problem Solving,TR,Days _ Time,03:30 pm - 05:20 pm,Days _ Time1,STAFF
ARCH,T480,Special Topics-Lecture,Face To Face,004,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/15640?crseNumb=T480,15640,Design: Making and Disruption,W,Days _ Time,06:00 pm - 08:50 pm,Days _ Time1,STAFF
ACCT,998,Research,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/12150?crseNumb=998,12150,Dissertation Research in Accounting,TBD,Days _ Time,TBD,Days _ Time1,Tony P Curatola
ARCH,481,Studio-Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/11864?crseNumb=481,11864,Architecture Studio 4A,T,Days _ Time,06:00 pm - 09:50 pm,Days _ Time1,Alesa I Rubendall
BSAN,360,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/12773?crseNumb=360,12773,Programming for Data Analytics,MW,Days _ Time,10:00 am - 11:50 am,Days _ Time1,Farnaz Ghashami
BSAN,460,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/12343?crseNumb=460,12343,Business Analytics Senior Project,MW,Days _ Time,10:00 am - 11:50 am,Days _ Time1,Christopher T Gaffney
ARCH,481,Studio-Lecture,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/12225?crseNumb=481,12225,Architecture Studio 4A,T,Days _ Time,06:00 pm - 09:50 pm,Days _ Time1,Eleanor L Sharpe
BSAN,710,Lecture,Face To Face,674,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/13004?crseNumb=710,13004,Business Analytics Capstone Project,T,Days _ Time,09:00 am - 11:50 am,Days _ Time1,Hande Y Benson
